DATE  OF OCCURRENCE, PRIMARY DESCRIPTION,LATITUDE,LONGITUDE, LOCATION DESCRIPTION,BLOCK
10/3/17 5:30,ARSON,41.87594236,-87.74367463,RESIDENCE PORCH/HALLWAY,047XX W GLADYS AVE
11/6/17 23:53,ARSON,41.76977717,-87.66637952,VACANT LOT/LAND,068XX S PAULINA ST
8/18/17 3:40,ARSON,41.93499256,-87.69191651,RESIDENCE PORCH/HALLWAY,029XX N ELSTON AVE
10/3/17 9:51,ARSON,41.76148751,-87.5981622,RESIDENCE,073XX S GREENWOOD AVE
8/6/17 19:00,ARSON,41.8504745,-87.73338554,RESIDENCE,022XX S KIRKLAND AVE
5/18/17 1:40,ARSON,41.93722767,-87.64430547,PARKING LOT/GARAGE(NON.RESID.),030XX N BROADWAY
8/30/17 17:00,ARSON,41.92821581,-87.74497578,RESIDENCE,047XX W WRIGHTWOOD AVE
5/22/17 12:40,ARSON,41.73472424,-87.6114483,RESIDENCE,005XX E 88TH ST
11/25/17 16:10,ARSON,41.8025641,-87.65994763,RESIDENCE,050XX S LOOMIS BLVD
11/23/17 6:05,ARSON,41.9782172,-87.70995614,RESIDENCE-GARAGE,053XX N SAWYER AVE
12/22/17 2:15,ARSON,41.95104202,-87.7030488,VEHICLE NON-COMMERCIAL,038XX N SACRAMENTO AVE
10/3/17 21:16,ARSON,41.86706223,-87.62254677,CONSTRUCTION SITE,012XX S INDIANA AVE
8/11/17 22:54,ARSON,41.87255914,-87.72378695,ABANDONED BUILDING,039XX W FLOURNOY ST
4/11/17 5:40,ARSON,41.79859801,-87.68415754,ALLEY,052XX S WESTERN AVE
10/16/17 2:36,ARSON,41.86763617,-87.70448554,STREET,011XX S TROY ST
8/6/17 14:00,ARSON,41.79279035,-87.59028706,RESIDENCE,056XX S BLACKSTONE AVE
6/6/17 23:41,ARSON,41.80797594,-87.64423608,VEHICLE NON-COMMERCIAL,007XX W 47TH PL
8/6/17 18:46,ARSON,41.74196399,-87.55515471,RESIDENTIAL YARD (FRONT/BACK),084XX S MUSKEGON AVE
9/18/17 16:30,ARSON,42.00380383,-87.81777199,PARK PROPERTY,067XX N NORTHWEST HWY
5/30/17 4:00,ARSON,41.69672312,-87.54256607,ALLEY,109XX S MACKINAW AVE
9/13/17 5:23,ARSON,41.95176082,-87.73428211,VEHICLE NON-COMMERCIAL,042XX W BYRON ST
6/19/17 16:55,ARSON,41.74429913,-87.65235599,VEHICLE NON-COMMERCIAL,082XX S MAY ST
7/31/17 1:50,ARSON,41.84185055,-87.70739876,STREET,027XX S SPAULDING AVE
6/5/17 22:11,ARSON,41.75957277,-87.65540893,RESIDENCE,012XX W 74TH ST
4/13/17 9:05,ARSON,41.80280764,-87.63320775,NURSING HOME/RETIREMENT HOME,050XX S PRINCETON AVE
9/27/17 18:56,ARSON,41.87422103,-87.73610826,APARTMENT,044XX W CONGRESS PKWY
2/3/18 23:15,ARSON,41.78234664,-87.65942957,VEHICLE NON-COMMERCIAL,061XX S LOOMIS BLVD
8/3/17 21:21,ARSON,41.92571008,-87.70304097,VEHICLE NON-COMMERCIAL,024XX N LINDEN PL
