NAME,ADDRESS,ZIP,GEODATE,LAT,LONG
MATERNITY OF THE BLESSED VIRGIN MARY CHURCH,3647 WEST NORTH AVENUE,60647,2009-04-14T00:00:00.000Z,41.9096618,-87.7182747
NATIVITY OF OUR LORD CHURCH,653 WEST 37TH STREET,60609,2009-04-01T00:00:00.000Z,41.8267514,-87.6432923
NATIVITY OF THE BLESSED VIRGIN MARY CHURCH,6812 SOUTH WASHTENAW AVENUE,60629,2009-04-13T00:00:00.000Z,41.7686113,-87.6912932
OUR LADY GATE OF HEAVEN CHURCH,2338 EAST 99TH STREET,60617,2009-04-15T00:00:00.000Z,41.7155981,-87.567177
OUR LADY OF AGLONA CHURCH,2543 WEST WABANSIA AVENUE,60647,2009-04-03T00:00:00.000Z,41.911963,-87.691928
OUR LADY OF GOOD COUNSEL CHURCH,3528 SOUTH HERMITAGE AVENUE,60609,2009-04-15T00:00:00.000Z,41.8293329,-87.669507
OUR LADY OF LOURDES CHURCH,1444 SOUTH KEELER AVENUE,60623,2009-04-03T00:00:00.000Z,41.8608846,-87.730141
OUR LADY OF MERCY CHURCH,4432 NORTH TROY STREET,60625,2009-04-03T00:00:00.000Z,41.9620794,-87.7077236
OUR LADY OF TEPEYAC CHURCH,2226 SOUTH WHIPPLE STREET,60623,2009-04-16T00:00:00.000Z,41.8514853,-87.7019261
OUR LADY OF THE SNOWS CHURCH,4858 SOUTH LEAMINGTON AVENUE,60638,2009-04-14T00:00:00.000Z,41.8054448,-87.7520444
PROVIDENCE OF GOD CHURCH,717 WEST 18TH STREET,60616,2009-04-02T00:00:00.000Z,41.8573219,-87.6450977
QUEEN OF ANGELS CATHOLIC CHURCH,2330 WEST SUNNYSIDE AVENUE,60625,2009-04-06T00:00:00.000Z,41.9635324,-87.6880138
QUEEN OF THE UNIVERSE CHURCH,7130 SOUTH HAMLIN AVENUE,60629,2009-04-01T00:00:00.000Z,41.7629549,-87.7178606
SACRED HEART CHURCH,2864 EAST 96TH STREET,60617,2009-04-10T00:00:00.000Z,41.7212652,-87.5534922
SAINT BARBARA CHURCH,2859 SOUTH THROOP STREET,60608,2009-04-06T00:00:00.000Z,41.8424683,-87.652767
SAINT BARNABAS CHURCH,10134 SOUTH LONGWOOD DRIVE,60643,2009-04-03T00:00:00.000Z,41.7093318,-87.6704522
SAINT BENEDICT CHURCH,2215 WEST IRVING PARK ROAD,60618,2009-04-03T00:00:00.000Z,41.9537481,-87.6839894
SAINT CAJETAN CHURCH,2445 WEST 112TH STREET,60655,2009-04-02T00:00:00.000Z,41.6893748,-87.6827225
SAINT CAMILLUS CHURCH,5454 SOUTH LOCKWOOD AVENUE,60638,2009-04-08T00:00:00.000Z,41.7931293,-87.7553425
SAINT CHRISTINA CATHOLIC CHURCH,11005 SOUTH HOMAN AVENUE,60655,2009-04-03T00:00:00.000Z,41.6918283,-87.704853
SAINT CLARE OF MONTEFALCO CHURCH,5443 SOUTH WASHTENAW AVENUE,60632,2009-04-07T00:00:00.000Z,41.7941863,-87.6910897
SAINT CONSTANCE CHURCH,5843 WEST STRONG STREET,60630,2009-04-02T00:00:00.000Z,41.9698793,-87.7755125
SAINT DENIS CHURCH,8301 SOUTH SAINT LOUIS AVENUE,60652,2009-04-01T00:00:00.000Z,41.7418521,-87.7091023
SAINT EUGENE CHURCH,7958 WEST FOSTER AVENUE,60656,2009-04-01T00:00:00.000Z,41.9744046,-87.8277798
SAINT GALL CHURCH,5511 SOUTH SAWYER AVENUE,60629,2009-04-08T00:00:00.000Z,41.793091,-87.7040732
SAINT GENEVIEVE CHURCH,4835 WEST ALTGELD STREET,60639,2009-04-02T00:00:00.000Z,41.9257992,-87.7483629
SAINT GERTRUDE CATHOLIC CHURCH,1420 WEST GRANVILLE AVENUE,60660,2009-04-01T00:00:00.000Z,41.994736,-87.6657014
SAINT HEDWIG CATHOLIC CHURCH,2226 NORTH HOYNE AVENUE,60647,2009-04-07T00:00:00.000Z,41.921806,-87.6806961
SAINT HILARY CHURCH,5600 NORTH FAIRFIELD AVENUE,60659,2009-04-01T00:00:00.000Z,41.9833806,-87.6986832
SAINT JEROME CHURCH,1709 WEST LUNT AVENUE,60626,2009-04-02T00:00:00.000Z,42.0085968,-87.6725302
SAINT JOSAPHAT CATHOLIC CHURCH,2311 NORTH SOUTHPORT AVENUE,60614,2009-04-03T00:00:00.000Z,41.9236209,-87.6627777
SAINT MALACHY CHURCH,2248 WEST WASHINGTON BOULEVARD,60612,2009-04-10T00:00:00.000Z,41.8832868,-87.6833522
SAINT MARGARET OF SCOTLAND CHURCH,9837 SOUTH THROOP STREET,60643,2009-03-31T00:00:00.000Z,41.7144052,-87.6549152
SAINT MARK CATHOLIC CHURCH,1048 NORTH CAMPBELL AVENUE,60622,2009-04-08T00:00:00.000Z,41.9009169,-87.6900269
SAINT MARY OF THE LAKE CHURCH,4200 NORTH SHERIDAN ROAD,60613,2009-03-31T00:00:00.000Z,41.9588082,-87.6552508
SAINT MATTHIAS CHURCH,2310 WEST AINSLIE STREET,60625,2009-04-06T00:00:00.000Z,41.9708247,-87.6875095
SAINT MICHAEL THE ARCHANGEL CHURCH,4821 SOUTH DAMEN AVENUE,60609,2009-04-03T00:00:00.000Z,41.806943,-87.6744113
SAINT NICHOLAS OF TOLENTINE CHURCH,3721 WEST 62ND STREET,60629,2009-03-31T00:00:00.000Z,41.7803879,-87.715981
SAINT PASCAL CHURCH,3935 NORTH MELVINA AVENUE,60634,2009-04-02T00:00:00.000Z,41.9526672,-87.7813502
SAINT PAUL CHURCH,2127 WEST 22ND PLACE,60608,2009-03-31T00:00:00.000Z,41.851001,-87.6789067
SAINT PHILOMENA CHURCH,1921 NORTH KEDVALE AVENUE,60639,2009-04-02T00:00:00.000Z,41.9157119,-87.7297885
SAINT RITA OF CASCIA CHURCH,6243 SOUTH FAIRFIELD AVENUE,60629,2009-04-06T00:00:00.000Z,41.7796135,-87.6916246
SAINT ROBERT BELLARMINE CHURCH,4646 NORTH AUSTIN AVENUE,60630,2009-04-06T00:00:00.000Z,41.9654349,-87.7777154
SAINT ROMAN CHURCH,2311 SOUTH WASHTENAW AVENUE,60608,2009-04-08T00:00:00.000Z,41.8499225,-87.6924804
SAINT SIMON THE APOSTLE CHURCH,5157 SOUTH CALIFORNIA AVENUE,60632,2009-04-07T00:00:00.000Z,41.7993828,-87.6933427
SAINT SYLVESTER CHURCH,2157 NORTH HUMBOLDT BOULEVARD,60647,2009-03-31T00:00:00.000Z,41.9214002,-87.7012557
SAINT TARCISSUS CATHOLIC CHURCH,6020 WEST ARDMORE AVENUE,60646,2009-03-31T00:00:00.000Z,41.9868273,-87.779247
SAINT TERESA OF AVILA CHURCH,1037 WEST ARMITAGE AVENUE,60614,2009-04-02T00:00:00.000Z,41.9178044,-87.6546777
SAINT THOMAS OF CANTERBURY CHURCH,4827 NORTH KENMORE AVENUE,60640,2009-04-14T00:00:00.000Z,41.9697548,-87.6557984
SAINT TURIBIUS CHURCH,5646 SOUTH KARLOV AVENUE,60629,2009-04-03T00:00:00.000Z,41.7898103,-87.7259464
SAINT VINCENT DEPAUL CHURCH,1010 WEST WEBSTER AVENUE,60614,2009-03-31T00:00:00.000Z,41.9221731,-87.6538987
SAINT WILLIAM CHURCH,2600 NORTH SAYRE AVENUE,60707,2009-04-07T00:00:00.000Z,41.926716,-87.8015146
SANTA LUCIA-SANTA MARIA INCORONATA CHURCH,3022 SOUTH WELLS STREET,60616,2009-04-10T00:00:00.000Z,41.8390513,-87.6331741
SAINT FRANCIS DE SALES CHURCH,10201 SOUTH EWING AVENUE,60617,2009-04-03T00:00:00.000Z,41.7109074,-87.5349112
SAINT PETER'S CHURCH,110 WEST MADISON STREET,60602,2008-09-05T00:00:00.000Z,41.8821979,-87.6312163
ANNUNCIATA CHURCH,11128 SOUTH AVENUE G,60617,2009-04-01T00:00:00.000Z,41.6931845,-87.5322613
CORPUS CHRISTI CHURCH,4920 SOUTH KING DRIVE,60615,2009-04-08T00:00:00.000Z,41.8055297,-87.61719
HOLY ROSARY CHURCH,612 NORTH WESTERN AVENUE,60612,2009-04-01T00:00:00.000Z,41.8925138,-87.6871889
EPIPHANY CATHOLIC CHURCH,2524 SOUTH KEELER AVENUE,60623,2009-04-02T00:00:00.000Z,41.845674,-87.7297538
