selected,Name,Address,Zip,Lat,Long
polygon,ELLINGTON,243 N PARKSIDE AVE,60644,41.88553,-87.76659
polygon,ERICSON,3600 W 5TH AVE,60624,41.87574,-87.71580
polygon,FALCONER,3020 N LAMON AVE,60641,41.93578,-87.74933
polygon,BELMONT-CRAGIN,5252 W PALMER ST,60639,41.92160,-87.75795
polygon,KELLMAN,3030 W ARTHINGTON ST,60612,41.87017,-87.70216
polygon,FRANKLIN,225 W EVERGREEN AVE,60610,41.90660,-87.63551
polygon,FUNSTON,2010 N CENTRAL PARK AVE,60647,41.91762,-87.71689
polygon,GOETHE,2236 N ROCKWELL ST,60647,41.92283,-87.69290
polygon,GRAY,3730 N LARAMIE AVE,60641,41.94876,-87.75712
polygon,GREGORY,3715 W POLK ST,60624,41.87074,-87.71867
polygon,HAMILTON,1650 W CORNELIA AVE,60657,41.94522,-87.67087
polygon,MCAULIFFE,1841 N SPRINGFIELD AVE,60647,41.91482,-87.72393
polygon,HAWTHORNE,3319 N CLIFTON AVE,60657,41.94228,-87.65771
polygon,HAY,1018 N LARAMIE AVE,60651,41.89917,-87.75581
polygon,HEFFERAN,4409 W WILCOX ST,60624,41.87866,-87.73580
polygon,SOUTH LOOP,1212 S PLYMOUTH CT,60605,41.86687,-87.62861
polygon,HOWE,720 N LOREL AVE,60644,41.89361,-87.75940
polygon,GALILEO,820 S CARPENTER ST,60607,41.87125,-87.65337
polygon,JAHN,3149 N WOLCOTT AVE,60657,41.93925,-87.67581
polygon,JENNER,1119 N CLEVELAND AVE,60610,41.90205,-87.64106
polygon,CASALS,3501 W POTOMAC AVE,60651,41.90450,-87.71423
polygon,LOZANO,1501 N GREENVIEW AVE,60642,41.90889,-87.66509
polygon,LASALLE,1734 N ORLEANS ST,60614,41.91390,-87.63756
polygon,LEWIS,1431 N LEAMINGTON AVE,60651,41.90683,-87.75455
polygon,LINCOLN,615 W KEMPER PL,60614,41.92452,-87.64450
polygon,VON LINNE,3221 N SACRAMENTO AVE,60618,41.94001,-87.70263
polygon,LLOYD,2103 N LAMON AVE,60639,41.91881,-87.74852
polygon,LOCKE J,2828 N OAK PARK AVE,60634,41.93176,-87.79560
polygon,LOVETT,6333 W BLOOMINGDALE AVE,60639,41.91272,-87.78392
polygon,LOWELL,3320 W HIRSCH ST,60651,41.90652,-87.71022
polygon,LYON,2941 N MCVICKER AVE,60634,41.93419,-87.77717
polygon,MANIERRE,1420 N HUDSON AVE,60610,41.90825,-87.63983
polygon,NORTHWEST,5252 W PALMER ST,60639,41.92061,-87.75792
polygon,FARADAY,3250 W MONROE ST,60624,41.87971,-87.70809
polygon,MAYER,2250 N CLIFTON AVE,60614,41.92320,-87.65729
polygon,JACKSON A,1340 W HARRISON ST,60607,41.87430,-87.66098
polygon,HANSON PARK,5411 W FULLERTON AVE,60639,41.92396,-87.76151
polygon,MITCHELL,2233 W OHIO ST,60612,41.89208,-87.68318
polygon,MONROE,3651 W SCHUBERT AVE,60647,41.92999,-87.71922
polygon,MOOS,1711 N CALIFORNIA AVE,60647,41.91251,-87.69694
polygon,INTER-AMERICAN,851 W WAVELAND AVE,60613,41.94900,-87.65157
polygon,MOZART,2200 N HAMLIN AVE,60647,41.92091,-87.72189
polygon,MURPHY,3539 W GRACE ST,60618,41.95008,-87.71683
polygon,NASH,4837 W ERIE ST,60644,41.89181,-87.74794
polygon,NETTELHORST,3252 N BROADWAY ST,60657,41.94164,-87.64456
polygon,NEWBERRY,700 W WILLOW ST,60614,41.91395,-87.64599
polygon,NIXON,2121 N KEELER AVE,60639,41.91958,-87.73142
polygon,NOBEL,4127 W HIRSCH ST,60651,41.90616,-87.72995
polygon,WEST PARK,1425 N TRIPP AVE,60651,41.90691,-87.73244
polygon,PICCOLO,1040 N KEELER AVE,60651,41.90014,-87.73126
polygon,OTIS,525 N ARMOUR ST,60642,41.89181,-87.66543
polygon,IRVING,749 S OAKLEY BLVD,60612,41.87160,-87.68362
polygon,WARD L,646 N LAWNDALE AVE,60624,41.89324,-87.71880
polygon,PRESCOTT,1632 W WRIGHTWOOD AVE,60614,41.92884,-87.66953
polygon,PULASKI,2230 W MCLEAN AVE,60647,41.91849,-87.68380
polygon,REILLY,3650 W SCHOOL ST,60618,41.94109,-87.71954
polygon,REINBERG,3425 N MAJOR AVE,60634,41.94302,-87.76898
polygon,SAYRE,1850 N NEWLAND AVE,60707,41.91415,-87.79872
polygon,SCAMMON,4201 W HENDERSON ST,60641,41.94168,-87.73218
polygon,SCHUBERT,2727 N LONG AVE,60639,41.93040,-87.76119
polygon,SKINNER,1260 W ADAMS ST,60607,41.87910,-87.65942
polygon,SMYTH,1059 W 13TH ST,60608,41.86535,-87.65345
polygon,SPENCER,214 N LAVERGNE AVE,60644,41.88488,-87.75044
polygon,STOWE,3444 W WABANSIA AVE,60647,41.91194,-87.71332
polygon,SUMNER,4320 W 5TH AVE,60624,41.87083,-87.73352
polygon,TALCOTT,1840 W OHIO ST,60622,41.89240,-87.67372
polygon,THORP O,6024 W WARWICK AVE,60634,41.94857,-87.77763
polygon,TILTON,223 N KEELER AVE,60624,41.88410,-87.73057
polygon,WEBSTER,4055 W ARTHINGTON ST,60624,41.86992,-87.72752
polygon,PRITZKER,2009 W SCHILLER ST,60622,41.90705,-87.67776
