selected,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,ZIP CODE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LATITUDE,LONGITUDE
polygon,"MSG CHICAGO, LLC",CHICAGO THEATER,175 N STATE ST,60601,9/16/16,9/15/18,41.88524,-87.62778
polygon,"BEHIND THE SCENES CHICAGO, LLC",PARAMOUNT EVENTS,1746-1758 W LAKE ST 1,60612,9/15/16,10/15/18,41.88528,-87.67133
polygon,SEVENTH INC.,SEVEN,400 E RANDOLPH ST 7,60601,9/16/16,9/15/18,41.88465,-87.61725
polygon,"ONE NORTH, INC.",ONE NORTH,1 N WACKER DR,60606,9/16/16,9/15/18,41.88195,-87.63662
polygon,"TLBC FOOD, INC.",TOKYO LUNCH BOX AND SAKE BAR,300 S RIVERSIDE PLZ 1 110,60606,9/16/14,9/15/16,41.87798,-87.63842
polygon,"ONE NORTH, INC.",ONE NORTH,1 N WACKER DR,60606,9/16/16,9/15/18,41.88195,-87.63662
polygon,Levy (Events) Limited Partnership,LEVY(EVENTS)LIMITED PARTNERSHIP,315 N LA SALLE DR 1,60654,11/16/16,11/15/18,41.88792,-87.63236
polygon,"REGAL CINEMAS, INC.",REGAL CINEMAS WEBSTER PLACE,1471 W WEBSTER AVE 1ST AND 2ND,60614,11/16/16,10/15/18,41.92149,-87.666
polygon,ROSEBUD ARTIST'S CAFE INC.,ARTIST'S CAFE,1150 S WABASH AVE 1ST,60605,9/16/16,10/15/18,41.86775,-87.62598
polygon,"TUTTO MONDO, INC.",CAFFE BACI,225 W WACKER DR 1ST,60606,9/16/16,9/15/18,41.88671,-87.63471
polygon,"LBT CHICAGO, LLC",THE LITTLE BEET TABLE,845-847 N STATE ST 1ST,60610,9/16/16,10/15/18,41.89799,-87.62809
polygon,HANDCUT FOODS LLC,HANDCUT FOODS,1455 W WILLOW ST 1ST,60642,9/16/16,9/15/18,41.91393,-87.66369
polygon,LYRIC OPERA OF CHICAGO,LYRIC OPERA OF CHICAGO,20 N WACKER DR  ENTIR,60606,9/16/16,9/15/18,41.88241,-87.63717
polygon,"BILLY GOAT TAVERN III, INC",BILLY GOAT TAVERN,330 S WELLS ST,60606,9/16/16,9/15/18,41.87737,-87.63385
polygon,LYRIC OPERA OF CHICAGO,LYRIC OPERA OF CHICAGO,20 N WACKER DR  ENTIR,60606,9/16/16,9/15/18,41.88241,-87.63717
polygon,LYRIC OPERA OF CHICAGO,LYRIC OPERA OF CHICAGO,20 N WACKER DR 2ND,60606,9/16/16,9/15/18,41.88241,-87.63717
polygon,"TUTTO MONDO, INC.",CAFFE BACI,225 W WACKER DR 1ST,60606,9/16/16,9/15/18,41.88671,-87.63471
polygon,PRIME BAR CHICAGO LLC,PRIME BAR,155 N WACKER DR 1ST,60606,9/16/16,9/15/18,41.88462,-87.63668
polygon,PRIME BAR CHICAGO LLC,PRIME BAR,155 N WACKER DR 1ST,60606,9/16/16,9/15/18,41.88462,-87.63668
polygon,"S & L ENTERTAINMENT, LLC",BLUE DOOR KITCHEN + GARDEN,52 W ELM ST 1 & 2,60610,2/16/14,2/15/16,41.90326,-87.6305
polygon,"S & L ENTERTAINMENT, LLC",BLUE DOOR KITCHEN + GARDEN,52 W ELM ST 1 & 2,60610,7/15/16,8/15/18,41.90326,-87.6305
polygon,"S & L ENTERTAINMENT, LLC",BLUE DOOR KITCHEN + GARDEN,52 W ELM ST 1 & 2,60610,2/16/12,2/15/14,41.90326,-87.6305
polygon,"S & L ENTERTAINMENT, LLC",BLUE DOOR KITCHEN + GARDEN,52 W ELM ST 1 & 2,60610,2/16/16,2/15/18,41.90326,-87.6305
polygon,4 STAR 3358 SOUTHPORT LLC,TUCO & BLONDIE,3356-3358 N SOUTHPORT AVE 1,60657,9/20/16,10/15/18,41.94331,-87.66406
polygon,SENZA LLC,WHEAT'S END CAFE,2873-2875 N BROADWAY  1ST,60657,9/16/16,9/15/18,41.93491,-87.64408
polygon,4 STAR 3358 SOUTHPORT LLC,TUCO & BLONDIE,3356-3358 N SOUTHPORT AVE 1,60657,9/20/16,10/15/18,41.94331,-87.66406
polygon,"GE, GE'S ON 5TH, INC.","GE GE'S ON 5TH, INC.",3134 W FIFTH AVE,60612,9/16/16,9/15/18,41.87874,-87.70514
polygon,CHECKERBOARD PRODUCTIONS INC,BUDDY GUY'S LEGENDS,700 S WABASH AVE 1 & 2,60605,10/16/16,10/15/18,41.87306,-87.62611
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST  3RD F,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,312 PIZZA VENTURES LLC,PARLOR PIZZA BAR,1824-1826 W DIVISION ST  1,60622,9/21/16,10/15/18,41.90336,-87.6734
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST  3RD F,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,"COOKING FOOLS, LLC",COOKING FOOLS LLC,1916 W NORTH AVE,60622,11/16/16,11/15/18,41.91062,-87.67576
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST 2ND,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST  SKYBO,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST 2ND,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST  BALCO,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST  3RD F,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST  BALCO,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,"HOB CHICAGO, INC.",HOUSE OF BLUES,329 N DEARBORN ST  3RD F,60610,10/16/16,10/15/18,41.8883,-87.62941
polygon,MAI CHI CORPORATION,MOTT ST.,1401 N ASHLAND AVE 1ST,60622,11/16/16,11/15/18,41.90704,-87.66744
polygon,MAI CHI CORPORATION,MOTT ST.,1401 N ASHLAND AVE 1ST,60622,11/16/16,11/15/18,41.90704,-87.66744
polygon,"GODDESS AND THE BAKER WACKER, LLC",GODDESS AND THE BAKER,121 W WACKER DR,60601,9/23/16,10/15/18,41.88671,-87.63163
polygon,"N. JEFFERSON OPERATOR, LLC",HOMEWOOD SUITES CHICAGO-DOWNTOWN/WEST LOOP,118 N JEFFERSON ST,60661,9/23/16,10/15/18,41.8838,-87.64286
polygon,SOUTH LOOP CLUB INC,SOUTH LOOP CLUB INC,701 S STATE ST,60605,10/16/16,10/15/18,41.87306,-87.62742
polygon,SOUTH LOOP CLUB INC,SOUTH LOOP CLUB INC,701 S STATE ST,60605,10/16/16,10/15/18,41.87306,-87.62742
polygon,"N. JEFFERSON OPERATOR, LLC",HOMEWOOD SUITES CHICAGO-DOWNTOWN/WEST LOOP,118 N JEFFERSON ST,60661,9/23/16,10/15/18,41.8838,-87.64286
polygon,"WLADYSLAW KOWYNIA, INC.",EVILOLIVE,1551 W DIVISION ST 1ST & MEZZANINE,60642,11/16/16,11/15/18,41.90324,-87.66714
polygon,"BAD AXE THROWING USA, INC.",BAD AXE THROWING,165-171 N LOOMIS ST 1,60607,9/23/16,10/15/18,41.8848,-87.66225
polygon,2450 N MILWAUKEE RESTAURANT LLC,ESTEREO,2450 N MILWAUKEE AVE 1,60647,7/8/16,7/15/18,41.92576,-87.70225
polygon,2450 N MILWAUKEE RESTAURANT LLC,ESTEREO,2450 N MILWAUKEE AVE 1,60647,7/8/16,7/15/18,41.92576,-87.70225
polygon,"REGAL CINEMAS, INC.",REGAL CINEMAS WEBSTER PLACE,1471 W WEBSTER AVE 1ST AND 2ND,60614,10/16/16,10/15/18,41.92149,-87.666
polygon,"N. JEFFERSON OPERATOR, LLC",HOMEWOOD SUITES CHICAGO-DOWNTOWN/WEST LOOP,118 N JEFFERSON ST,60661,9/23/16,10/15/18,41.8838,-87.64286
polygon,SOUTH LOOP CLUB INC,SOUTH LOOP CLUB INC,701 S STATE ST,60605,10/16/16,10/15/18,41.87306,-87.62742
polygon,"N. JEFFERSON OPERATOR, LLC",HAMPTON INN CHICAGO-DOWNTOWN/WEST LOOP,116 N JEFFERSON ST,60661,9/23/16,10/15/18,41.88374,-87.64286
polygon,"THE DEN THEATRE CHICAGO, LLC",THE DEN THEATRE,1333 N MILWAUKEE AVE 2 2,60642,11/16/16,11/15/18,41.90616,-87.67065
polygon,CHICAGO CONCESSIONS WATER TOWER LLC,BROADWAY PLAYHOUSE,175 E CHESTNUT ST 1ST,60611,10/16/16,10/15/18,41.89829,-87.6229
polygon,"BREAD & OLIVE, INC.",MILK & HONEY CAFE,1920 W DIVISION ST,60622,11/16/16,11/15/18,41.90333,-87.67567
polygon,"MUG TO MUG, INCORPORATED",KIBBITZNEST BOOKS & BREWS,2212 N CLYBOURN AVE,60614,9/26/16,10/15/18,41.92187,-87.66496
polygon,WATER TOWER PLAYHOUSE LLC,BROADWAY PLAYHOUSE,175 E CHESTNUT ST,60611,10/16/16,10/15/18,41.89829,-87.6229
polygon,"LIVE NATION CHICAGO, INC.","LIVE NATION CHICAGO, INC.",1300 S LYNN WHITE DR,60605,10/16/16,10/15/18,41.86631,-87.61027
polygon,"ROANOKE HOSPITALITY, LLC",ROANOKE,135 W MADISON ST 1 & 2,60602,9/27/16,10/15/17,41.88186,-87.6319
polygon,"HOLLYWOOD GRILL, INC.",HOLLYWOOD GRILL,1601 W NORTH AVE 1ST,60622,11/16/16,11/15/18,41.91052,-87.66775
polygon,"HEBSON BROTHERS, INCORPORATED",HACKNEY'S PRINTERS' ROW,731 - 733 S DEARBORN ST,60605,10/16/16,10/15/18,41.87273,-87.629
polygon,WHITEHILL CORP,KASEY'S TAVERN,701 S DEARBORN ST,60605,10/16/16,10/15/18,41.87332,-87.62902
polygon,MGL-GRAND LLC,YUKI HANA,2918-2920 N CLARK ST,60657,2/16/17,2/15/19,41.93529,-87.64707
polygon,THE STERLING ROOM LLC,TORTOISE CLUB,350 N STATE ST 1,60654,11/16/16,11/15/18,41.8889,-87.6282
polygon,J & Z 1 INC.,E Z INN,921 N WESTERN AVE 1ST,60622,11/16/16,11/15/18,41.89829,-87.68676
polygon,"FLACO'S TACOS, LLC","FLACO'S TACOS, LLC",725 S DEARBORN ST,60605,10/16/16,10/15/18,41.87285,-87.629
polygon,THE STERLING ROOM LLC,TORTOISE CLUB,350 N STATE ST 1,60654,11/16/16,11/15/18,41.8889,-87.6282
