selected,DATE  OF OCCURRENCE,PRIMARY DESCRIPTION,LATITUDE,LONGITUDE,LOCATION DESCRIPTION,BLOCK
polygon,12/29/17 6:26,HOMICIDE,41.89068,-87.68575,STREET,023XX W GRAND AVE
polygon,1/1/18 2:46,HOMICIDE,41.94456,-87.72668,AUTO,039XX W CORNELIA AVE
polygon,1/1/18 11:33,HOMICIDE,41.92973,-87.64092,APARTMENT,026XX N HAMPDEN CT
polygon,12/13/17 15:15,HOMICIDE,41.87415,-87.73524,PARKING LOT,005XX S KOSTNER AVE
polygon,12/11/17 9:50,HOMICIDE,41.90232,-87.74903,STREET,049XX W DIVISION ST
polygon,1/5/18 18:50,HOMICIDE,41.88732,-87.75869,STREET,053XX W LAKE ST
polygon,1/7/18 13:35,HOMICIDE,41.88833,-87.75536,STREET,004XX N LARAMIE AVE
polygon,1/7/18 16:37,HOMICIDE,41.89469,-87.71019,STREET,007XX N CHRISTIANA AVE
polygon,1/9/18 20:49,HOMICIDE,41.89172,-87.74815,STREET,006XX N LAMON AVE
polygon,3/5/18 9:30,HOMICIDE,41.87457,-87.75485,STREET,004XX S LARAMIE AVE
polygon,1/9/18 20:36,HOMICIDE,41.87849,-87.75388,STREET,051XX W ADAMS ST
polygon,3/6/18 20:11,HOMICIDE,41.89951,-87.72621,ALLEY,010XX N PULASKI RD
polygon,3/7/18 22:26,HOMICIDE,41.88200,-87.72890,STREET,041XX W WASHINGTON BLVD
polygon,1/10/18 3:18,HOMICIDE,41.90480,-87.75973,HOUSE,013XX N LOREL AVE
polygon,3/8/18 18:56,HOMICIDE,41.89563,-87.76785,STREET,008XX N WALLER AVE
polygon,1/11/18 12:07,HOMICIDE,41.89002,-87.75881,STREET,053XX W RACE AVE
polygon,3/11/18 13:42,HOMICIDE,41.89851,-87.70045,AUTO,009XX N RICHMOND ST
polygon,1/9/18 17:22,HOMICIDE,41.91582,-87.70523,STREET,019XX N ALBANY AVE
polygon,6/9/17 18:52,HOMICIDE,41.90761,-87.76263,STREET,054XX W LE MOYNE ST
polygon,10/17/17 16:37,HOMICIDE,41.88444,-87.77336,STREET,002XX N MASON AVE
polygon,6/9/17 19:28,HOMICIDE,41.92209,-87.76989,AUTO,057XX W BELDEN AVE
polygon,6/13/17 16:27,HOMICIDE,41.91266,-87.76616,STREET,056XX W BLOOMINGDALE AVE
polygon,6/11/17 2:04,HOMICIDE,41.89980,-87.71768,STREET,010XX N MONTICELLO AVE
polygon,1/21/18 3:45,HOMICIDE,41.92200,-87.77605,STREET,060XX W BELDEN AVE
polygon,1/21/18 3:43,HOMICIDE,41.92200,-87.77605,STREET,060XX W BELDEN AVE
polygon,6/12/17 23:49,HOMICIDE,41.89408,-87.74430,STREET,047XX W SUPERIOR ST
polygon,6/15/17 23:28,HOMICIDE,41.90065,-87.77411,STREET,011XX N MASON AVE
polygon,6/18/17 1:20,HOMICIDE,41.90643,-87.75342,APARTMENT,014XX N LECLAIRE AVE
polygon,6/18/17 2:15,HOMICIDE,41.90643,-87.75342,APARTMENT,014XX N LECLAIRE AVE
polygon,6/18/17 19:56,HOMICIDE,41.86573,-87.72150,STREET,012XX S AVERS AVE
polygon,6/18/17 17:24,HOMICIDE,41.89365,-87.71434,YARD,035XX W HURON ST
polygon,5/17/17 20:54,HOMICIDE,41.88623,-87.75650,STREET,003XX N LATROBE AVE
polygon,9/2/17 5:40,HOMICIDE,41.89914,-87.76797,STREET,010XX N WALLER AVE
polygon,6/19/17 3:05,HOMICIDE,41.89982,-87.71890,STREET,010XX N LAWNDALE AVE
polygon,9/3/17 22:58,HOMICIDE,41.92203,-87.77409,STREET,059XX W BELDEN AVE
polygon,9/6/17 5:27,HOMICIDE,41.87574,-87.75625,STREET,052XX W GLADYS AVE
polygon,9/7/17 7:53,HOMICIDE,41.87259,-87.72165,VACANT LOT,038XX W FLOURNOY ST
polygon,6/27/17 12:50,HOMICIDE,41.89541,-87.72183,STREET,038XX W CHICAGO AVE
polygon,9/8/17 2:37,HOMICIDE,41.86764,-87.70449,AUTO,011XX S TROY ST
polygon,9/12/17 4:55,HOMICIDE,41.87941,-87.75249,STREET,050XX W MONROE ST
polygon,9/12/17 16:00,HOMICIDE,41.87646,-87.73778,ALLEY,003XX S KILBOURN AVE
polygon,9/13/17 0:41,HOMICIDE,41.88118,-87.68531,ALLEY,023XX W MADISON ST
polygon,6/20/17 21:05,HOMICIDE,41.87842,-87.67901,STREET,002XX S HOYNE AVE
polygon,6/24/17 17:53,HOMICIDE,41.90265,-87.75578,STREET,012XX N LARAMIE AVE
polygon,10/22/17 20:34,HOMICIDE,41.89907,-87.75080,STREET,010XX N LAVERGNE AVE
polygon,5/21/17 1:53,HOMICIDE,41.88866,-87.74879,STREET,049XX W HUBBARD ST
polygon,9/17/17 3:40,HOMICIDE,41.88997,-87.75297,STREET,005XX N LECLAIRE AVE
polygon,10/26/17 11:09,HOMICIDE,41.92625,-87.75869,STREET,025XX N LOCKWOOD AVE
polygon,10/27/17 10:02,HOMICIDE,41.89906,-87.72166,STREET,038XX W AUGUSTA BLVD
polygon,10/27/17 10:02,HOMICIDE,41.89906,-87.72166,STREET,038XX W AUGUSTA BLVD
polygon,10/31/17 8:24,HOMICIDE,41.88004,-87.75769,STREET,000XX S LOCKWOOD AVE
polygon,11/1/17 14:52,HOMICIDE,41.87546,-87.71001,STREET,033XX W VAN BUREN ST
polygon,8/14/17 4:14,HOMICIDE,41.86651,-87.63922,STREET,012XX S CANAL ST
polygon,11/5/17 17:10,HOMICIDE,41.88389,-87.67060,ALLEY,001XX N HERMITAGE AVE
polygon,1/23/18 19:53,HOMICIDE,41.90621,-87.73162,AUTO,042XX W HIRSCH ST
polygon,11/8/17 13:33,HOMICIDE,41.89729,-87.75321,BASEMENT,009XX N LECLAIRE AVE
polygon,1/24/18 6:45,HOMICIDE,41.87496,-87.72548,STREET,004XX S PULASKI RD
polygon,1/24/18 14:47,HOMICIDE,41.92417,-87.75199,RETAIL STORE,050XX W FULLERTON AVE
polygon,11/13/17 17:39,HOMICIDE,41.87529,-87.72365,STREET,039XX W VAN BUREN ST
polygon,11/14/17 16:41,HOMICIDE,41.87362,-87.75744,STREET,005XX S LOCKWOOD AVE
polygon,11/16/17 17:59,HOMICIDE,41.88221,-87.76706,PORCH,056XX W WASHINGTON BLVD
